seg	tick	x	y	z	vx	vy	vz	fx	fy	fz	ux	uy	uz	avx	avy	avz	ground	boost
land_flat_drop	109	0	0	25.39	0	0	-516.911	1	0	-0.000383495	0.000383495	0	1	0	0.05081	0	1	100
land_flat_drop	111	0.03	0	18.6	1.931	0	-370.931	0.999998	0	-0.00201335	0.00201335	0	0.999998	0	0.10901	0	1	100
land_flat_drop	113	0.07	0	14.9	1.931	0	-143.661	0.999998	0	-0.00201335	0.00201335	0	0.999998	0	-0.12771	0	1	100
land_flat_drop	115	0.04	0	14.33	-0.901	0	-10.281	0.999999	0	-0.00115049	0.00115049	0	0.999999	0	-0.01051	0	1	100
land_flat_drop	117	0.05	0	14.63	0.951	0	23.071	0.999997	0	-0.00230097	0.00230097	0	0.999997	0	0.08031	0	1	100
land_flat_drop	119	0.07	0	15.06	1.251	0	26.051	0.999993	0	-0.0036432	0.0036432	0	0.999993	0	0.08301	0	1	100
land_flat_drop	121	0.09	0	15.47	1.181	0	24.391	0.999988	0	-0.00488954	0.00488954	0	0.999988	0	0.07241	0	1	100
land_flat_drop	123	0.11	0	15.83	1.011	0	20.881	0.999982	0	-0.00594414	0.00594414	0	0.999982	0	0.05901	0	1	100
land_flat_drop	125	0.13	0	16.13	0.821	0	16.951	0.999977	0	-0.00680699	0.00680699	0	0.999977	0	0.04651	0	1	100
land_flat_drop	127	0.15	0	16.37	0.641	0	13.241	0.999972	0	-0.00747809	0.00747809	0	0.999972	0	0.03611	0	1	100
land_flat_drop	129	0.15	0	16.55	0.501	0	10.061	0.999968	0	-0.00795744	0.00795744	0	0.999968	0	0.02781	0	1	100
land_flat_drop	131	0.15	0	16.68	0.391	0	7.521	0.999965	0	-0.00834092	0.00834092	0	0.999965	0	0.02131	0	1	100
land_flat_drop	133	0.15	0	16.78	0.301	0	5.571	0.999963	0	-0.00862854	0.00862854	0	0.999963	0	0.01641	0	1	100
land_flat_drop	135	0.15	0	16.85	0.231	0	4.051	0.999961	0	-0.00882027	0.00882027	0	0.999961	0	0.01261	0	1	100
land_flat_drop	137	0.15	0	16.9	0.181	0	2.931	0.999959	0	-0.00901201	0.00901201	0	0.999959	0	0.00961	0	1	100
land_flat_drop	139	0.15	0	16.94	0.141	0	2.131	0.999959	0	-0.00910788	0.00910788	0	0.999959	0	0.00741	0	1	100
land_flat_drop	141	0.15	0	16.97	0.101	0	1.491	0.999957	0	-0.00929962	0.00929962	0	0.999957	0	0.00571	0	1	100
land_flat_drop	143	0.15	0	16.99	0.081	0	1.041	0.999957	0	-0.00929962	0.00929962	0	0.999957	0	0.00441	0	1	100
land_flat_drop	145	0.15	0	17.01	0.061	0	0.701	0.999956	0	-0.00939549	0.00939549	0	0.999956	0	0.00341	0	1	100
land_flat_drop	147	0.15	0	17.01	0.041	0	0.451	0.999956	0	-0.00939549	0.00939549	0	0.999956	0	0.00261	0	1	100
land_flat_drop	149	0.15	0	17.01	0.031	0	0.351	0.999955	0	-0.00949136	0.00949136	0	0.999955	0	0.00201	0	1	100
land_fast_drop	0	0	0	884.82	0	0	-913.531	1	0	0	-0	0	1	0	0	0	0	100
land_fast_drop	2	0	0	869.46	0	0	-924.351	1	0	0	-0	0	1	0	0	0	0	100
land_fast_drop	4	0	0	853.92	0	0	-935.171	1	0	0	-0	0	1	0	0	0	0	100
land_fast_drop	6	0	0	838.2	0	0	-945.991	1	0	0	-0	0	1	0	0	0	0	100
land_fast_drop	8	0	0	822.3	0	0	-956.811	1	0	0	-0	0	1	0	0	0	0	100
